category,crime,gainingType,gainings,group,id,nerveUsed,nnb,outcome,status
drug_deals,amphetamines,money,829,drugs,14788,8,35,success,success
drug_deals,cocaine,money,861,drugs,14961,8,35,success,success
drug_deals,cocaine,money,844,drugs,14964,,35,success,success
drug_deals,cocaine,money,876,drugs,14968,,35,success,success
drug_deals,cocaine,money,758,drugs,14970,,35,success,success
drug_deals,cocaine,money,842,drugs,14972,,35,success,success
drug_deals,cocaine,money,823,drugs,14973,,35,success,success
drug_deals,cocaine,money,756,drugs,14974,,35,success,success
drug_deals,cocaine,,,drugs,14975,,35,jail,error
drug_deals,drugspills,,,drugs,14993,8,35,blue,ready
drug_deals,drugspills,,,drugs,14994,8,35,blue,ready
drug_deals,drugspills,money,538,drugs,14995,8,35,success,success
drug_deals,drugspills,,,drugs,14996,8,35,blue,ready
drug_deals,drugspills,money,499,drugs,14997,8,35,success,success
drug_deals,drugspills,,,drugs,14998,8,35,blue,ready
drug_deals,drugspills,,,drugs,14999,8,35,blue,ready
drug_deals,drugspills,,,drugs,15000,8,35,blue,ready
drug_deals,drugspills,money,507,drugs,15001,8,35,success,success
drug_deals,drugscocaine,,,drugs,15002,8,35,blue,ready
drug_deals,drugscocaine,,,drugs,15003,8,35,blue,ready
drug_deals,drugscocaine,money,567,drugs,15004,8,35,success,success
drug_deals,drugscocaine,,,drugs,15005,8,35,blue,ready
drug_deals,amphetamines,,,drugs,15133,8,35,blue,ready
drug_deals,amphetamines,money,815,drugs,15134,8,35,success,success
drug_deals,amphetamines,money,708,drugs,15135,8,35,success,success
drug_deals,amphetamines,money,670,drugs,15136,8,35,success,success
drug_deals,amphetamines,money,804,drugs,15137,8,35,success,success
drug_deals,amphetamines,money,850,drugs,15138,8,35,success,success
drug_deals,drugscocaine,,,drugs,15168,8,35,blue,ready
drug_deals,drugscocaine,money,696,drugs,15169,8,35,success,success
drug_deals,cocaine,money,796,drugs,15246,8,35,success,success
drug_deals,cocaine,money,801,drugs,15247,8,35,success,success
drug_deals,cocaine,money,779,drugs,15257,8,35,success,success
drug_deals,cocaine,money,846,drugs,15258,8,35,success,success
drug_deals,cocaine,,,drugs,15259,8,35,blue,ready
drug_deals,cocaine,money,887,drugs,15260,8,35,success,success
drug_deals,cocaine,money,788,drugs,15261,8,35,success,success
drug_deals,cocaine,money,858,drugs,15262,8,35,success,success
drug_deals,cocaine,,,drugs,15263,8,35,blue,ready
drug_deals,cocaine,money,800,drugs,15264,8,35,success,success
drug_deals,cocaine,money,842,drugs,15265,8,35,success,success
drug_deals,cocaine,,,drugs,15266,8,35,blue,ready
drug_deals,cocaine,money,810,drugs,15267,8,35,success,success
drug_deals,cocaine,money,708,drugs,15268,8,35,success,success
drug_deals,cocaine,money,758,drugs,15269,8,35,success,success
drug_deals,cocaine,money,802,drugs,15270,8,35,success,success
